time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	v_ground_truth	yaw_groundtruth	yawrate_groundtruth
1477010449850000	16.5434	19.3647	4.72573	2.53288	0.522682	radar	3.25521	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	4.81058	2.53069	0.542677
1477010449900000	16.3115	19.5317	4.8208	2.55853	0.521381	lidar	0.848476	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	4.81225	2.55783	0.54151
1477010449950000	16.0898	19.6143	4.79445	2.60839	0.55537	radar	10.074	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	4.81404	2.5849	0.540258
1477010450000000	15.8824	19.7597	4.82544	2.62867	0.547576	lidar	0.75254	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	4.81595	2.61191	0.53892
1477010450050000	15.6959	19.8824	4.77849	2.63503	0.506144	radar	3.27006	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	4.81798	2.63886	0.537498
1477010450100000	15.4592	20.0395	4.86841	2.65281	0.497616	lidar	1.26504	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	4.82012	2.66574	0.53599
1477010450150000	15.2436	20.1845	4.90056	2.66389	0.477817	radar	5.64876	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	4.82237	2.69253	0.534397
1477010450200000	15.0589	20.3125	4.86721	2.67615	0.466577	lidar	1.92825	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	4.82474	2.71925	0.532721
1477010450250000	14.8278	20.3961	4.86724	2.71257	0.485514	radar	2.11008	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	4.82722	2.74589	0.53096
1477010450300000	14.6129	20.5142	4.87534	2.72957	0.478197	lidar	0.625469	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	4.82981	2.77244	0.529115
1477010450350000	14.3731	20.6039	4.90525	2.76435	0.499181	radar	1.22735	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	4.83249	2.79889	0.527187
1477010450400000	14.1274	20.6773	4.91903	2.79629	0.506	lidar	0.682056	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	4.8353	2.82525	0.525176
1477010450450000	13.8879	20.7505	4.93503	2.8305	0.523527	radar	0.357854	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	4.83819	2.85151	0.523081
1477010450500000	13.6115	20.8156	4.99645	2.86449	0.530608	lidar	1.55724	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	4.84121	2.87767	0.520904
1477010450550000	13.3601	20.8488	5.01542	2.91548	0.574907	radar	2.44233	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	4.84431	2.90371	0.518645
1477010450600000	13.1179	20.8875	4.99955	2.94857	0.579476	lidar	0.190244	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	4.84751	2.92964	0.516304
1477010450650000	12.8846	20.9466	4.98611	2.97041	0.570977	radar	1.78469	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	4.85081	2.95546	0.513881
1477010450700000	12.6951	20.9846	4.88741	2.99452	0.568278	lidar	2.09587	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	4.8542	2.98115	0.511377
